#OTU ID,barcode18.CONCOMPRA,unclassified.CONCOMPRA,barcode30.CONCOMPRA,barcode76.CONCOMPRA,barcode77.CONCOMPRA,barcode31.CONCOMPRA,barcode21.CONCOMPRA,barcode85.CONCOMPRA,barcode08.CONCOMPRA,barcode63.CONCOMPRA,barcode33.CONCOMPRA,barcode38.CONCOMPRA,barcode62.CONCOMPRA,barcode56.CONCOMPRA,barcode57.CONCOMPRA,barcode82.CONCOMPRA,barcode83.CONCOMPRA,barcode15.CONCOMPRA,barcode09.CONCOMPRA,barcode58.CONCOMPRA,barcode49.CONCOMPRA,barcode71.CONCOMPRA,barcode50.CONCOMPRA,barcode10.CONCOMPRA,barcode22.CONCOMPRA,barcode73.CONCOMPRA,barcode84.CONCOMPRA,barcode78.CONCOMPRA,barcode19.CONCOMPRA,barcode91.CONCOMPRA,barcode48.CONCOMPRA,barcode45.CONCOMPRA,barcode12.CONCOMPRA,barcode02.CONCOMPRA,barcode92.CONCOMPRA,barcode81.CONCOMPRA,barcode53.CONCOMPRA,barcode59.CONCOMPRA,barcode61.CONCOMPRA,barcode04.CONCOMPRA,barcode51.CONCOMPRA,barcode52.CONCOMPRA,barcode75.CONCOMPRA,barcode66.CONCOMPRA,barcode93.CONCOMPRA,barcode44.CONCOMPRA,barcode13.CONCOMPRA,barcode74.CONCOMPRA,barcode37.CONCOMPRA,barcode29.CONCOMPRA,barcode34.CONCOMPRA,barcode16.CONCOMPRA,barcode36.CONCOMPRA,barcode11.CONCOMPRA,barcode05.CONCOMPRA,barcode69.CONCOMPRA,barcode35.CONCOMPRA,barcode60.CONCOMPRA,barcode24.CONCOMPRA,barcode27.CONCOMPRA,barcode06.CONCOMPRA,barcode41.CONCOMPRA,barcode20.CONCOMPRA,barcode43.CONCOMPRA,barcode03.CONCOMPRA,barcode87.CONCOMPRA,barcode14.CONCOMPRA,barcode65.CONCOMPRA,barcode42.CONCOMPRA,barcode28.CONCOMPRA,barcode01.CONCOMPRA,barcode96.CONCOMPRA,barcode25.CONCOMPRA,barcode17.CONCOMPRA,barcode68.CONCOMPRA,barcode26.CONCOMPRA,barcode67.CONCOMPRA,barcode94.CONCOMPRA
barcode0269,57,17,0,145,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,18,0,0,118,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,1,0,0,9,0,0,2,0,13,0,0,2,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode6168,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,70,0,0,0,0,1,5,345,0,0,7,1,5,0,3,1,2,8,0,1,0,9,0,0,2,1,8,0,0,0,0,8,0,2,0,0,0,1,24,0,0,0,0,9,1,0,0
barcode3320,3,85,0,12,0,0,5,5,0,0,910,0,0,0,0,0,4,0,67,0,0,0,0,0,0,176,1,0,0,0,0,1,0,0,0,0,1,9,0,0,8,0,6,0,0,0,14,0,12,1,1,0,9,0,0,13,237,0,0,137,3,219,0,0,0,0,0,0,0,0,70,0,0,0,0,1,0,0
barcode203,71,6,0,43,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,1,0,0,0,0,20,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
barcode7344,77,29,0,56,0,0,76,12,0,0,2,0,0,0,0,0,0,0,4,0,0,0,5,4,1,422,0,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,5,3,0,1,3,0,9,8,0,0,0,0,0,12,25,0,0,37,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
barcode5048,9,93,0,26,0,0,1,0,0,0,0,0,0,0,0,50,1,0,62,0,0,0,1241,0,0,230,0,0,1,0,0,0,0,26,0,0,2,4,0,0,0,0,38,1135,0,2,0,5,0,0,8,0,2,1,0,1,6,16,0,5,0,0,25,0,1,0,0,0,0,0,128,0,0,0,0,0,0,0
barcode7658,94,36,0,527,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,613,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
barcode2260,1,33,0,0,3,0,51,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,0,0,0,18,0,1,0,0,114,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0
barcode2123,1,35,0,0,0,0,291,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125,0,0,0,0,0,69,0,0,0,0,55,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
barcode5018,69,78,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,692,0,0,384,0,0,0,0,0,0,0,136,0,0,0,0,0,0,1,0,11,343,0,1,1,1,1,0,135,0,0,0,0,0,1,399,0,0,0,0,1,0,0,0,0,0,0,0,612,0,1,0,9,0,0,0
barcode7634,1,6,0,38,0,0,1,0,0,0,1,0,0,0,1,2,13,0,0,1,0,0,4,14,0,26,0,0,3,0,0,9,0,0,0,0,9,15,2,5,9,0,7,3,0,13,16,5,0,1,4,0,10,8,0,0,54,1,0,33,0,7,1,0,23,0,0,6,1,1,0,0,0,0,2,8,0,0
barcode1819,130,7,0,27,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45,0,0
barcode5355,12,124,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3296,0,3,0,0,0,0,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
barcode2679,2,99,0,3,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,4,0,0,20,48,2,23,0,0,142,0,0,49,14,0,0,0,96,60,80,0,93,22,10,13,0,33,18,78,45,28,0,0,120,73,0,2,20,16,0,0,0,251,0,0,615,0,3,0,14,50,1,0,0,0,145,279,0,0
unclassified63,36,13,0,26,0,0,0,0,0,0,47,0,0,0,16,7,1,0,0,0,0,0,34,11,0,205,0,0,3,0,0,1,0,128,0,0,12,12,0,1,0,1,24,16,0,91,1,3,6,1,31,0,2,1,10,0,0,4,0,10,0,3,4,0,1,0,0,4,0,0,5,0,0,0,1,21,0,0
barcode0455,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,119,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,347,0,0,3,1,0,1,2,0,0,0,0,0,0,0,1,0,4,0,0,10,0,0,4,0,2,0,0,0,3,0,0,0,0,0,0,22,0,0
barcode5359,9,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,147,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
barcode0572,19,80,0,6,4,0,226,154,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,11,168,205,0,0,0,0,0,117,0,0,0,0,133,157,8,0,1,0,21,0,0,0,1,4,95,51,0,0,0,0,391,107,253,3,0,100,218,0,1,2,0,0,101,1,0,0,0,0,0,0,0,0,0,0
barcode5710,8,18,0,8,0,0,3,0,0,0,4,0,0,0,252,0,1,0,21,0,1,0,51,9,0,199,0,0,0,0,0,0,0,2,0,0,5,2,0,3,1,0,1,9,0,0,7,1,1,0,0,0,4,0,4,0,3,0,0,1,0,0,0,0,0,0,1,19,0,0,5,0,0,0,0,1,0,0
barcode1817,161,8,0,6,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,33,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
barcode3345,18,29,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,1,18,0,59,0,0,0,0,0,0,0,30,0,0,23,3,0,52,13,0,45,0,0,0,2,0,1,0,0,0,0,0,0,0,17,0,0,10,0,134,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
barcode0526,1,45,0,29,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,12,1,0,127,0,0,4,0,0,0,0,0,0,0,62,25,0,0,0,0,6,68,0,174,2,2,61,0,88,0,0,1,545,0,0,36,0,1,0,0,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0
barcode7376,47,13,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode5971,3,17,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,109,67,5,0,0,3,0,0,4,0,88,0,0,0,433,0,0,36,0,1,22,0,2,13,39,0,12,0,0,17,1,0,5,0,11,0,0,93,0,3,4,22,0,51,0,8,3,0,0,0,0,4,60,1,0
barcode0425,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,29,0,491,2,0,2,1,0,1,7,0,0,0,72,0,0,0,0,0,21,0,0,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
barcode2115,4,33,0,55,0,0,272,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,68,0,49,0,0,3,0,0,41,0,1,0,0,250,110,7,0,8,0,3,0,0,9,15,5,170,12,62,0,20,5,0,6,38,26,0,18,0,0,9,1,18,0,10,0,1,53,1,0,0,0,7,21,2,0
barcode7656,2,7,0,6,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,7,8,4,29,0,0,2,0,0,0,0,1,0,0,2,4,1,0,1,0,2,0,0,82,6,7,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,4,0,6,1,0,0,6,0,0,0,0,0,0,0
barcode7350,51,19,0,35,0,0,0,1,0,0,0,0,0,0,3,6,0,0,43,0,0,0,108,0,0,482,0,0,0,0,0,0,0,10,0,0,7,4,0,1,0,0,4,24,0,0,0,0,1,0,12,0,0,1,17,1,1,10,0,0,0,35,10,0,2,0,0,0,0,1,11,0,0,0,1,1,0,0
barcode503,10,65,0,102,0,0,0,0,0,0,0,0,0,0,491,109,2,0,4,0,6,0,823,27,0,91,0,0,0,0,0,1,0,30,0,0,1,59,0,0,30,0,59,273,0,61,27,2,0,1,53,0,0,1,120,1,37,16,0,0,0,0,37,1,3,0,1,152,7,1,113,0,0,0,1,1,0,0
barcode7523,4,14,0,0,0,0,0,0,0,0,0,0,0,0,64,1,1,0,1,0,0,0,37,3,1,27,0,0,0,0,0,0,0,37,0,0,0,1,0,33,0,0,120,15,0,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0
barcode0488,2,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,49,0,0,0,0,0,689,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode026,25,67,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,178,0,0,0,0,0,0,0,431,0,0,0,44,0,1168,0,0,24,1,0,0,0,0,0,0,33,0,0,1,0,0,0,5,0,0,0,0,5,6,0,0,0,0,0,0,31,0,0,0,0,0,0,0
barcode0924,17,53,0,59,0,0,0,1,0,0,219,0,0,0,0,0,15,0,203,0,0,0,51,15,0,357,0,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,15,21,0,0,0,0,17,0,0,0,0,0,0,0,0,20,0,5,0,1,15,0,0,0,0,0,0,1,196,0,0,0,0,0,0,0
barcode7362,22,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
barcode7359,50,47,0,207,0,0,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,714,0,0,0,0,0,3,0,1,0,0,27,1,0,0,0,0,0,0,0,0,0,0,86,12,0,0,1,0,0,17,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
barcode3420,3,13,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,4,23,0,8,0,0,1,0,0,0,0,23,0,0,9,90,0,0,7,0,4,0,0,4,3,0,6,0,196,0,0,4,17,0,0,7,0,1,0,0,5,0,9,0,0,0,2,0,0,0,0,0,0,13,0,0
barcode753,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode7611,14,13,0,140,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,396,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode342,1,26,0,4,0,0,5,0,0,0,0,0,0,0,5,0,7,0,6,3,0,0,8,37,0,13,0,0,0,0,0,18,4,66,0,0,3,83,2,195,31,1,8,11,0,1,16,7,5,1,179,0,27,0,0,0,69,5,0,19,0,0,17,0,2,0,0,0,35,37,7,0,0,0,1,43,1,0
